genes
AFAP1L2
AFF1
AFF4
AFG3L2
AFMID
AFTPH
AGA
AGAP1
AGAP2
AGAP3
AGBL2
AGBL3
AGBL5
AGFG1
AGFG2
AGGF1
AGK
AGL
AGMAT
AGO1
AGO2
AGO3
AGO4
AGPAT2
AGPAT3
AGPAT4
AGPAT5
AGRN
AGTPBP1
AGTRAP
AHCTF1
AHCY
AHCYL1
AHCYL2
AHDC1
AHI1
AHNAK
AHNAK2
AHR
AHRR
AHSA1
AIDA
AIF1L
AIFM1
AIFM2
AIFM3
AIG1
AIMP1
AIMP2
AIP
AJUBA
AK1
AK2
AK3
AK4
AK7
AK8
AK9
AKAP1
AKAP10
AKAP11
AKAP12
AKAP13
AKAP3
AKAP5
AKAP6
AKAP7
AKAP8
AKAP8L
AKAP9
AKIP1
AKIRIN1
AKIRIN2
AKNA
AKNAD1
AKR1A1
AKR1B1
AKR1B10
AKR1E2
AKR7A2
AKR7A3
AKT1
AKT1S1
AKT2
AKT3
AKTIP
ALAD
ALAS1
ALCAM
ALDH16A1
ALDH18A1
ALDH1A3
ALDH1B1
ALDH1L2
ALDH3A2
ALDH3B1
ALDH4A1
ALDH5A1
ALDH6A1
ALDH7A1
ALDH9A1
ALDOA
ALDOC
ALG1
ALG10
ALG10B
ALG11
ALG12
ALG13
ALG14
ALG1L
ALG2
ALG3
ALG5
ALG6
ALG8
ALKBH1
ALKBH2
ALKBH3
ALKBH4
ALKBH5
ALKBH6
ALKBH7
ALKBH8
ALMS1
ALPK1
ALS2
ALS2CL
ALYREF
AMACR
AMBRA1
AMD1
AMDHD1
AMDHD2
AMER1
AMFR
AMH
AMIGO1
AMIGO2
AMMECR1
AMMECR1L
AMN
AMN1
AMOTL1
AMOTL2
AMPD2
AMPD3
AMT
AMZ1
ANAPC1
ANAPC10
ANAPC11
ANAPC13
ANAPC15
ANAPC16
ANAPC2
ANAPC4
ANAPC5
ANAPC7
ANG
ANGEL1
ANGEL2
ANGPT2
ANGPTL4
ANGPTL6
ANK2
ANK3
ANKAR
ANKDD1A
ANKFY1
ANKH
ANKHD1
ANKIB1
ANKLE1
ANKLE2
ANKMY1
ANKMY2
ANKRA2
ANKRD1
ANKRD10
ANKRD11
ANKRD12
ANKRD13A
ANKRD13B
ANKRD13C
ANKRD13D
ANKRD16
ANKRD17
ANKRD18B
ANKRD2
ANKRD23
ANKRD24
ANKRD26
ANKRD27
ANKRD28
ANKRD29
ANKRD31
ANKRD33B
ANKRD36
ANKRD36C
ANKRD37
ANKRD39
ANKRD40
ANKRD42
ANKRD44
ANKRD45
ANKRD46
ANKRD49
ANKRD50
ANKRD52
ANKRD54
ANKRD6
ANKRD9
ANKS1A
ANKS3
ANKS6
ANKZF1
ANLN
ANO1
ANO10
ANO6
ANO7
ANO8
ANP32A
ANP32B
ANP32E
ANPEP
ANTXR1
ANTXR2
ANXA1
ANXA11
ANXA2
ANXA2R
ANXA4
ANXA5
ANXA6
ANXA7
ANXA9
AOC2
AOC3
AP000253.1
AP000350.5
AP001412.1
AP001437.1
AP1AR
AP1B1
AP1G1
AP1G2
AP1M1
AP1M2
AP1S1
AP1S2
AP1S3
AP2A1
AP2A2
AP2B1
AP2M1
AP2S1
AP3B1
AP3D1
AP3M1
AP3M2
AP3S1
AP3S2
AP4B1
AP4E1
AP4M1
AP4S1
AP5B1
AP5M1
AP5S1
AP5Z1
APAF1
APBA1
APBA3
APBB1
APBB2
APBB3
APC
APC2
APEH
APEX1
APEX2
APH1B
API5
APIP
APLF
APLP1
APLP2
APMAP
APOBEC3B
APOBEC3C
APOBEC3F
APOBEC3H
APOC1
APOE
APOL1
APOL2
APOL3
APOL6
APOLD1
APOO
APOOL
APP
APPBP2
APPL1
APPL2
APRT
APTX
AQP1
AQP11
AQP3
AQR
ARAF
ARAP1
ARAP2
ARAP3
ARC
AREL1
ARF1
ARF3
ARF4
ARF5
ARF6
ARFGAP1
ARFGAP2
ARFGAP3
ARFGEF1
ARFGEF2
ARFIP1
ARFIP2
ARFRP1
ARG2
ARGLU1
ARHGAP1
ARHGAP10
ARHGAP11A
ARHGAP11B
ARHGAP12
ARHGAP17
ARHGAP18
ARHGAP19
ARHGAP21
ARHGAP22
ARHGAP24
ARHGAP26
ARHGAP27
ARHGAP29
ARHGAP30
ARHGAP31
ARHGAP32
ARHGAP33
ARHGAP35
ARHGAP39
ARHGAP42
ARHGAP44
ARHGAP5
ARHGAP8
ARHGDIA
ARHGDIB
ARHGEF1
ARHGEF10
ARHGEF10L
ARHGEF11
ARHGEF12
ARHGEF16
ARHGEF17
ARHGEF18
ARHGEF19
ARHGEF2
ARHGEF25
ARHGEF26
ARHGEF28
ARHGEF3
ARHGEF37
ARHGEF39
ARHGEF4
ARHGEF40
ARHGEF7
ARID1A
ARID1B
ARID2
ARID3A
ARID3B
ARID4A
ARID4B
ARID5A
ARID5B
ARIH1
ARIH2
ARIH2OS
ARL1
ARL10
ARL13B
ARL14
ARL14EP
ARL15
ARL16
ARL17A
ARL17B
ARL2
ARL2BP
ARL3
ARL4A
ARL4C
ARL4D
ARL5A
ARL5B
ARL6
ARL6IP1
ARL6IP4
ARL6IP5
ARL6IP6
ARL8A
ARL8B
ARMC1
ARMC10
ARMC2
ARMC5
ARMC6
ARMC7
ARMC8
ARMC9
ARMCX2
ARMCX5
ARNT
ARNT2
ARNTL
ARNTL2
ARPC1A
ARPC1B
ARPC2
ARPC3
ARPC4
ARPC5
ARPC5L
ARPP19
ARRB1
ARRB2
ARRDC1
ARRDC2
ARRDC3
ARRDC4
ARSA
ARSB
ARSD
ARSG
ARSJ
ARSK
ARV1
ARVCF
ASAH1
ASAH2
ASAH2B
ASAP1
ASAP2
ASAP3
ASB1
ASB13
ASB6
ASB7
ASB8
ASB9
ASCC1
ASCC2
ASCC3
ASF1A
ASF1B
ASGR1
ASH1L
ASH2L
ASIC1
ASIC3
ASIC4
ASL
ASNS
ASNSD1
ASPH
ASPHD1
ASPHD2
ASPM
ASPSCR1
ASRGL1
ASTE1
ASTN2
ASXL1
ASXL2
ATAD1
ATAD2
ATAD2B
ATAD3A
ATAD3B
ATAD3C
ATAD5
ATE1
ATF1
ATF2
ATF3
ATF4
ATF5
ATF6
ATF7
ATF7IP
ATG10
ATG12
ATG13
ATG14
ATG16L1
ATG16L2
ATG2A
ATG2B
ATG3
ATG4A
ATG4B
ATG4C
ATG4D
ATG5
ATG7
ATG9A
ATIC
ATL1
ATL2
ATL3
ATM
ATMIN
ATOH7
ATOX1
ATP10D
ATP11A
ATP11B
ATP11C
ATP13A1
ATP13A2
ATP13A3
ATP1A1
ATP1B1
ATP1B3
ATP2A1
ATP2A2
ATP2A3
ATP2B1
ATP2B4
ATP2C1
ATP6AP1L
ATP6AP2
ATP6V0A1
ATP6V0A2
ATP6V0A4
ATP6V0B
ATP6V0C
ATP6V0D1
ATP6V0E1
ATP6V0E2
ATP6V1A
ATP6V1B2
ATP6V1C1
ATP6V1C2
ATP6V1D
ATP6V1E1
ATP6V1E2
ATP6V1F
ATP6V1G1
ATP6V1H
ATP7B
ATP8B3
ATP9A
ATP9B
ATPAF1
ATPAF2
ATR
ATRAID
ATRN
ATRX
ATXN1
ATXN10
ATXN1L
ATXN2
ATXN2L
ATXN3
ATXN7
ATXN7L1
ATXN7L2
ATXN7L3
ATXN7L3B
AUH
AUNIP
AUP1
AURKA
AURKAIP1
AURKB
AURKC
AVEN
AVIL
AVL9
AVPI1
AXDND1
AXIN1
AXL
AZI2
AZIN1
B2M
B3GALNT1
B3GALNT2
B3GALT4
B3GALT6
B3GAT2
B3GAT3
B3GNT2
B3GNT4
B3GNT5
B3GNT7
B3GNT9
B3GNTL1
B4GALNT1
B4GALNT3
B4GALNT4
B4GALT1
B4GALT2
B4GALT3
B4GALT4
B4GALT5
B4GALT6
B4GALT7
B9D1
B9D2
BABAM1
BACE1
BACE2
BACH1
BACH1-IT2
BACH2
BAD
BAG1
BAG2
BAG3
BAG4
BAG5
BAHD1
BAIAP2
BAIAP2L1
BAIAP2L2
BAIAP3
BAK1
BAMBI
BANF1
BANP
BAP1
BARD1
BASP1
BATF2
BATF3
BAX
BAZ1A
BAZ2A
BAZ2B
BBC3
BBIP1
BBS1
BBS10
BBS12
BBS2
BBS4
BBS5
BBS7
BBS9
BBX
BCAM
BCAP29
BCAP31
BCAR1
BCAR3
BCAS1
BCAS2
BCAS3
BCAS4
BCAT1
BCAT2
BCCIP
BCDIN3D
BCKDHA
BCKDHB
BCKDK
BCL10
BCL2
BCL2L1
BCL2L11
BCL2L12
BCL2L13
BCL2L14
BCL2L2
BCL3
BCL6
BCL7A
BCL7C
BCL9
BCL9L
BCLAF1
BCO2
BCORL1
BCR
BCS1L
BDH1
BDH2
BDNF
BDP1
BECN1
BEND6
BEND7
BEST1
BEST4
BET1
BET1L
BFAR
BFSP1
BHLHE40
BHLHE41
BICD1
BICD2
BID
BIK
BIN1
BIN3
BIRC2
BIRC3
BIRC5
BIRC6
BIVM
BLCAP
BLM
BLMH
BLOC1S1
BLOC1S2
BLOC1S3
BLOC1S4
BLOC1S5
BLOC1S6
BLVRA
BLVRB
BLZF1
BMF
BMI1
BMP1
BMP2K
BMP8B
BMPR1A
BMPR1B
BMPR2
BMS1
BNIP1
BNIP2
BNIP3
BNIP3L
BNIPL
BOC
BOD1
BOD1L1
BOK
BOLA3
BOP1
BORA
BPGM
BPHL
BPNT1
BPTF
BRAF
BRAP
BRAT1
BRCA1
BRCA2
BRD1
BRD2
BRD3
BRD4
BRD7
BRD8
BRD9
BRF1
BRF2
BRI3
BRI3BP
BRICD5
BRIP1
BRIX1
BRK1
BRMS1
BRMS1L
BROX
BRPF1
BRPF3
BRSK1
BRSK2
BRWD1
BRWD3
BSCL2
BSDC1
BSG
BSN
BST1
BST2
BTAF1
BTBD1
BTBD10
BTBD2
BTBD3
BTBD6
BTBD7
BTBD8
BTBD9
BTD
BTF3
BTF3L4
BTG1
BTG2
BTG3
BTN2A1
BTN2A2
BTN3A1
BTN3A2
BTN3A3
BTRC
BUB1
BUB1B
BUB3
BUD13
BUD31
BVES
BYSL
BZW1
BZW2
C10orf25
C10orf67
C10orf88
C10orf95
C11orf24
C11orf49
C11orf54
C11orf58
C11orf65
C11orf68
C11orf71
C11orf74
C11orf80
C11orf86
C11orf95
C11orf96
C12orf10
C12orf29
C12orf4
C12orf43
C12orf45
C12orf49
C12orf60
C12orf65
C12orf66
C12orf73
C12orf75
C12orf76
C14orf119
C14orf28
C14orf93
C15orf39
C15orf40
C15orf41
C15orf48
C15orf61
C15orf65
C16orf46
C16orf58
C16orf70
C16orf72
C16orf74
C16orf86
C16orf87
C16orf91
C16orf95
C17orf107
C17orf49
C17orf53
C17orf67
C17orf75
C17orf80
C17orf82
C17orf97
C18orf21
C18orf25
C18orf32
C18orf54
C19orf12
C19orf25
C19orf38
C19orf44
C19orf47
C19orf48
C19orf53
C19orf54
C19orf57
C19orf73
C1D
C1GALT1
C1GALT1C1
C1orf109
C1orf112
C1orf115
C1orf122
C1orf131
C1orf159
C1orf162
C1orf174
C1orf198
C1orf21
C1orf216
C1orf220
C1orf226
C1orf35
C1orf43
C1orf50
C1orf52
C1orf53
C1orf56
C1orf61
C1orf74
C1QBP
C1QL1
C1QTNF2
C1QTNF3
C1QTNF6
C1R
C1RL
C20orf144
C20orf194
C20orf27
C20orf96
C21orf58
C21orf91
C22orf23
C22orf39
C2CD2
C2CD2L
C2CD3
C2CD4D
C2CD5
C2orf15
C2orf42
C2orf49
C2orf68
C2orf69
C2orf74
C2orf76
C2orf81
C2orf88
C3
C3orf14
C3orf18
C3orf33
C3orf38
C3orf52
C3orf62
C3orf67
C4orf19
C4orf3
C4orf33
C4orf36
C4orf46
C4orf47
C4orf48
C5
C5AR1
C5orf15
C5orf22
C5orf24
C5orf34
C5orf51
C5orf63
C6orf120
C6orf163
C6orf226
C6orf52
C6orf58
C6orf62
C6orf89
C6orf99
C7orf25
C7orf26
C7orf50
C7orf61
C8orf33
C8orf34
C8orf37
C8orf58
C8orf76
C8orf82
C9orf116
C9orf147
C9orf153
C9orf16
C9orf163
C9orf24
C9orf40
C9orf43
C9orf64
C9orf72
C9orf78
C9orf85
CA11
CA12
CA13
CA2
CA5B
CAAP1
CAB39
CAB39L
CABIN1
CABLES1
CABLES2
CABYR
CACHD1
CACNA2D1
CACNB1
CACNB3
CACNB4
CACNG8
CACTIN
CACUL1
CACYBP
CAD
CADM4
CADPS2
CAGE1
CAHM
CALB2
CALCOCO1
CALCOCO2
CALD1
CALHM2
CALM1
CALM2
CALM3
CALML4
CALR
CALU
CALY
CAMK1
CAMK1D
CAMK2B
CAMK2D
CAMK2G
CAMK2N1
CAMK2N2
CAMKK1
CAMKK2
CAMKMT
CAMLG
CAMSAP1
CAMSAP2
CAMTA1
CAMTA2
CAND1
CANT1
CANX
CAP1
CAP2
CAPG
CAPN1
CAPN10
CAPN12
CAPN15
CAPN2
CAPN5
CAPN7
CAPNS1
CAPRIN1
CAPRIN2
CAPS
CAPS2
CAPZA1
CAPZA2
CAPZB
CARD10
CARD14
CARD16
CARD6
CARD8
CARD9
CARF
CARHSP1
CARM1
CARNS1
CARS
CARS2
CASC1
CASC11
CASC15
CASC2
CASC3
CASC4
CASD1
CASK
CASKIN1
CASKIN2
CASP10
CASP2
CASP3
CASP4
CASP6
CASP7
CASP8
CASP9
CAST
CASZ1
CAT
CATSPER1
CATSPER2
CATSPER3
CATSPERG
CAV1
CAV2
CBFA2T2
CBFB
CBL
CBLB
CBLL1
CBLN3
CBR1
CBR3
CBR4
CBWD1
CBWD2
CBWD5
CBX1
CBX3
CBX4
CBX5
CBX6
CBX7
CBX8
CBY1
CC2D1A
CC2D1B
CC2D2A
CCAR1
CCAR2
CCBE1
CCDC102A
CCDC102B
CCDC106
CCDC107
CCDC110
CCDC112
CCDC113
CCDC115
CCDC117
CCDC12
CCDC120
CCDC121
CCDC122
CCDC124
CCDC125
CCDC126
CCDC127
CCDC13
CCDC130
CCDC134
CCDC136
CCDC137
CCDC138
CCDC14
CCDC142
CCDC144A
CCDC146
CCDC148
CCDC149
CCDC15
CCDC150
CCDC151
CCDC153
CCDC157
CCDC159
CCDC167
CCDC169
CCDC17
CCDC171
CCDC173
CCDC174
CCDC18
CCDC24
CCDC25
CCDC28A
CCDC28B
CCDC30
CCDC34
CCDC40
CCDC43
CCDC47
CCDC50
CCDC51
CCDC57
CCDC58
CCDC59
CCDC6
CCDC61
CCDC62
CCDC66
CCDC69
CCDC7
CCDC71
CCDC71L
CCDC73
CCDC74A
CCDC74B
CCDC77
CCDC78
CCDC80
CCDC82
CCDC85B
CCDC85C
CCDC86
CCDC88A
CCDC88B
CCDC88C
CCDC9
CCDC90B
CCDC91
CCDC92
CCDC93
CCDC96
CCDC97
CCHCR1
CCL28
CCM2
CCNA2
CCNB1
CCNB1IP1
CCNB2
CCNC
CCND1
CCND3
CCNDBP1
CCNE1
CCNE2
CCNF
CCNG1
CCNG2
CCNH
CCNI
CCNI2
CCNJ
CCNJL
CCNK
CCNL1
CCNL2
CCNO
CCNT1
CCNT2
CCNY
CCNYL1
CCP110
CCPG1
CCR10
CCS
CCSAP
CCSER2
CCT2
CCT3
CCT4
CCT5
CCT6A
CCT6B
CCT7
CCT8
CCZ1
CCZ1B
CD109
CD14
CD151
CD160
CD163L1
CD164
CD274
CD276
CD2AP
CD2BP2
CD302
CD320
CD3EAP
CD44
CD46
CD47
CD55
CD58
CD59
CD63
CD68
CD72
CD81
CD82
CD83
CD8A
CD9
CD96
CDA
CDADC1
CDAN1
CDC123
CDC14A
CDC14B
CDC16
CDC20
CDC23
CDC25A
CDC25B
CDC25C
CDC26
CDC27
CDC34
CDC37
CDC37L1
CDC40
CDC42
CDC42BPA
CDC42BPB
CDC42BPG
CDC42EP1
CDC42EP2
CDC42EP3
CDC42EP4
CDC42SE1
CDC42SE2
CDC45
CDC5L
CDC6
CDC7
CDC73
CDCA2
CDCA4
CDCA5
CDCA7
CDCA7L
CDCA8
CDH1
CDH24
CDHR3
CDIP1
CDIPT
CDK1
CDK10
CDK11A
CDK11B
CDK12
CDK13
CDK14
CDK16
CDK17
CDK18
CDK19
CDK2
CDK20
CDK2AP1
CDK2AP2
CDK4
CDK5
CDK5R1
CDK5R2
CDK5RAP1
CDK5RAP2
CDK5RAP3
CDK6
CDK8
CDK9
CDKAL1
CDKL1
CDKL3
CDKL5
CDKN1A
CDKN1B
CDKN1C
CDKN2A
CDKN2AIP
CDKN2AIPNL
CDKN2B
CDKN2C
CDKN2D
CDKN3
CDNF
CDON
CDPF1
CDR2
CDR2L
CDS1
CDS2
CDT1
CDV3
CDYL
CDYL2
CEACAM1
CEACAM19
CEBPA
CEBPB
CEBPD
CEBPG
CEBPZ
CELF1
CELF5
CELSR1
CELSR2
CELSR3
CENPA
CENPB
CENPBD1
CENPC
CENPE
CENPF
CENPH
CENPI
CENPJ
CENPK
CENPL
CENPM
CENPN
CENPO
CENPP
CENPQ
CENPT
CENPV
CENPW
CEP104
CEP120
CEP128
CEP135
CEP152
CEP164
CEP170
CEP170B
CEP19
CEP192
CEP250
CEP290
CEP350
CEP41
CEP44
CEP55
CEP57
CEP57L1
CEP63
CEP68
CEP70
CEP72
CEP76
CEP78
CEP85
CEP85L
CEP89
CEP95
CEP97
CEPT1
CERCAM
CERK
CERS1
CERS2
CERS4
CERS5
CERS6
CES2
CETN3
CFD
CFDP1
CFL1
CFL2
CFLAR
CFP
CGGBP1
CGN
CGREF1
CGRRF1
CHAC1
CHAC2
CHADL
CHAF1A
CHAF1B
CHAMP1
CHCHD1
CHCHD10
CHCHD2
CHCHD3
CHCHD4
CHCHD5
CHCHD6
CHCHD7
CHD1
CHD1L
CHD2
CHD3
CHD4
CHD6
CHD7
CHD8
CHD9
CHEK1
CHEK2
CHERP
CHFR
CHIC1
CHIC2
CHID1
CHKA
CHKB
CHM
CHML
CHMP1A
CHMP1B
CHMP2A
CHMP2B
CHMP3
CHMP4A
CHMP4B
CHMP5
CHMP6
CHMP7
CHN1
CHN2
CHORDC1
CHP1
CHPF
CHPF2
CHPT1
CHRAC1
CHRNA10
CHRNA5
CHRNB1
CHST11
CHST12
CHST14
CHST3
CHST7
CHSY1
CHTF18
CHTF8
CHTOP
CHUK
CHURC1
CIAO1
CIAPIN1
CIB1
CIB2
CIC
CIITA
CINP
CIR1
CIRBP
CISD1
CISD2
CISD3
CISH
CIT
CITED1
CITED2
CITED4
CIZ1
CKAP2
CKAP2L
CKAP4
CKAP5
CKB
CKLF
CKMT1A
CKMT1B
CKS1B
CKS2
CLASP1
CLASP2
CLASRP
CLCC1
CLCF1
CLCN2
CLCN3
CLCN4
CLCN6
CLCN7
CLDN11
CLDN12
CLDN15
CLDND1
CLDND2
CLEC16A
CLEC2D
CLEC4A
CLGN
CLHC1
CLIC4
CLIC5
CLINT1
CLIP1
CLIP3
CLIP4
CLK1
CLK3
CLK4
CLMN
CLMP
CLN5
CLN6
CLN8
CLNS1A
CLOCK
CLP1
CLPB
CLPP
CLPSL2
CLPTM1
CLPTM1L
CLPX
CLSPN
CLSTN1
CLSTN3
CLTA
CLTB
CLTC
CLTCL1
CLU
CLUAP1
CLUH
CLYBL
CMAS
CMBL
CMC1
CMC2
CMIP
CMPK1
CMSS1
CMTM1
CMTM3
CMTM4
CMTM6
CMTM7
CMTM8
CMTR1
CMTR2
CMYA5
CNBD2
CNBP
CNDP2
CNEP1R1
CNFN
CNIH1
CNIH2
CNIH3
CNIH4
CNKSR1
CNKSR3
CNN2
CNN3
CNNM2
CNNM3
CNNM4
CNOT1
CNOT10
CNOT11
CNOT2
CNOT4
CNOT6
CNOT6L
CNOT7
CNOT8
CNP
CNPPD1
CNPY2
CNPY3
CNPY4
CNST
CNTD1
CNTD2
CNTLN
CNTNAP3
CNTNAP3B
CNTRL
CNTROB
COA1
COA3
COA4
COA5
COA6
COASY
COBLL1
COCH
COG1
COG2
COG3
COG4
COG5
COG6
COG7
COG8
COIL
COL12A1
COL16A1
COL18A1
COL1A1
COL27A1
COL4A1
COL4A2
COL5A2
COL6A1
COL6A2
COL7A1
COL8A1
COL9A2
COL9A3
COLGALT1
COMMD1
COMMD10
COMMD2
COMMD3
COMMD4
COMMD5
COMMD6
COMMD7
COMMD8
COMMD9
COMT
COMTD1
COPA
COPB1
COPB2
COPE
COPG1
COPRS
COPS2
COPS3
COPS4
COPS5
COPS6
COPS7A
COPS7B
COPS8
COPZ1
COPZ2
COQ10A
COQ10B
COQ2
COQ3
COQ4
COQ5
COQ6
COQ7
COQ9
CORO1A
CORO1B
CORO1C
CORO2A
CORO2B
CORO6
CORO7
COTL1
COX10
COX11
COX14
COX15
COX16
COX17
COX18
COX19
COX20
COX4I1
COX5A
COX5B
COX6A1
COX6B1
COX6B2
COX6C
COX7A2
COX7A2L
COX7B
COX7C
COX8A
CPA4
CPD
CPEB2
CPEB3
CPEB4
CPLX1
CPM
CPNE1
CPNE2
CPNE3
CPNE7
CPOX
CPPED1
CPS1
CPSF2
CPSF3
CPSF4
CPSF6
CPSF7
CPT1A
CPT1B
CPT1C
CPT2
CPVL
CRABP2
CRADD
CRAT
CRB3
CRBN
CRCP
CREB1
CREB3
CREB3L2
CREB3L4
CREB5
CREBBP
CREBL2
CREBRF
CREBZF
CREG1
CREG2
CRELD1
CRELD2
CREM
CRIM1
CRIPT
CRISPLD2
CRK
CRKL
CRLF1
CRLF3
CRLS1
CRNDE
CRNKL1
CROCC
CROT
CRTAP
CRTC1
CRTC2
CRTC3
CRY1
CRY2
CRYBB2
CRYBG3
CRYGS
CRYL1
CRYZ
CRYZL1
CS
CSAD
CSDE1
CSE1L
CSF1
CSGALNACT2
CSK
CSNK1A1
CSNK1D
CSNK1E
CSNK1G1
CSNK1G2
CSNK1G3
CSNK2A1
CSNK2A2
CSNK2A3
CSPG4
CSPG5
CSPP1
CSRNP1
CSRNP2
CSRP1
CSRP2
CST3
CSTA
CSTB
CSTF1
CSTF2
CSTF2T
CSTF3
CTBP1
CTBP2
CTBS
CTC1
CTCF
CTDNEP1
CTDP1
CTDSP1
CTDSP2
CTDSPL
CTDSPL2
CTF1
CTH
CTHRC1
CTIF
CTNNA1
CTNNAL1
CTNNB1
CTNNBIP1
CTNNBL1
CTNND1
CTNS
CTPS1
CTPS2
CTR9
CTRL
CTSA
CTSB
CTSC
CTSD
CTSF
CTSH
CTSK
CTSL
CTSS
CTSV
CTSZ
CTTN
CTTNBP2NL
CTU1
CTU2
CTXN1
CUEDC1
CUEDC2
CUL1
CUL2
CUL3
CUL4A
CUL4B
CUL5
CUL7
CUL9
CUTC
CUX1
CUZD1
CWC15
CWC22
CWC25
CWC27
CWF19L1
CWF19L2
CXADR
CXCL16
CXorf38
CXorf40A
CXorf56
CXorf58
CXXC1
CXXC4
CXXC5
CYB561
CYB561A3
CYB561D1
CYB561D2
CYB5A
CYB5B
CYB5D1
CYB5D2
CYB5R1
CYB5R3
CYB5R4
CYB5RL
CYBA
CYBRD1
CYC1
CYCS
CYFIP1
CYFIP2
CYGB
CYHR1
CYLD
CYP1A1
CYP20A1
CYP27B1
CYP27C1
CYP2J2
CYP2U1
CYP39A1
CYP3A5
CYP4F11
CYP4V2
CYP51A1
CYSTM1
CYTH1
CYTH2
CYTH3
D2HGDH
DAAM1
DAB2
DAB2IP
DACT3
DAD1
DAG1
DAGLA
DAGLB
DALRD3
DAND5
DAP
DAP3
DAPK1
DAPK2
DAPK3
DARS
DARS2
DAXX
DAZAP1
DAZAP2
DBF4
DBF4B
DBI
DBN1
DBNDD1
DBNL
DBP
DBR1
DBT
DCAF10
DCAF11
DCAF12
DCAF13
DCAF15
DCAF16
DCAF17
DCAF4
DCAF4L1
DCAF5
DCAF6
DCAF7
DCAF8
DCAKD
DCBLD1
DCBLD2
DCK
DCLRE1A
DCLRE1B
DCLRE1C
DCP1A
DCP1B
DCP2
DCPS
DCST2
DCTD
DCTN1
DCTN2
DCTN3
DCTN4
DCTN5
DCTN6
DCTPP1
DCUN1D1
DCUN1D2
DCUN1D3
DCUN1D4
DCUN1D5
DCXR
DDA1
DDAH1
DDB1
DDB2
DDHD1
DDHD2
DDI2
DDIT3
DDIT4
DDIT4L
DDN
DDOST
DDR1
DDR2
DDRGK1
DDT
DDX1
DDX10
DDX11
DDX17
DDX18
DDX19A
DDX19B
DDX20
DDX21
DDX23
DDX24
DDX27
DDX28
DDX31
DDX39A
DDX3X
DDX41
DDX42
DDX46
DDX47
DDX49
DDX5
DDX50
DDX51
DDX52
DDX54
DDX55
DDX56
DDX58
DDX59
DDX6
DDX60
DDX60L
DEAF1
DECR1
DECR2
DEDD
DEDD2
DEF6
DEF8
DEGS1
DEGS2
DEK
DENND1A
DENND1B
DENND2A
DENND2C
DENND2D
DENND3
DENND4A
DENND4B
DENND4C
DENND5A
DENND5B
DENND6A
DENND6B
DENR
DEPDC1
DEPDC1B
DEPDC4
DEPDC5
DEPDC7
